0.0,0.03,0.55,2.08,0.84,0.0,inf,1.0,0.29,0.0,0.14,0.47,0.0,0.0,0.0,27.0,0.0,0.0,
0.2,0.02,0.31,1.15,0.47,0.29,0.74,0.71,0.31,0.0,0.09,0.56,0.0,0.0,0.4,15.0,0.0,1.0,
0.4,0.02,0.35,1.31,0.53,0.51,0.32,0.49,0.33,0.0,0.12,0.63,0.0,0.0,-0.2,17.0,0.0,2.0,
0.6,0.02,0.41,1.54,0.62,0.67,0.21,0.33,0.43,0.0,0.14,0.62,0.2,0.2,0.2,20.0,1.0,3.0,
0.8,0.02,0.27,1.0,0.4,0.82,0.23,0.18,1.0,0.0,0.09,0.62,0.2,0.8,0.6,13.0,4.0,4.0,
0.0,0.05,0.76,2.85,1.15,0.0,inf,1.0,0.31,0.2,0.25,1.01,0.0,0.0,0.6,37.0,0.0,0.0,
0.2,0.03,0.55,2.08,0.84,0.31,0.43,0.69,0.19,0.2,0.16,0.91,0.0,0.2,0.4,27.0,1.0,1.0,
0.4,0.06,0.96,3.62,1.46,0.45,0.4,0.55,0.33,0.2,0.24,0.76,0.6,0.4,0.0,47.0,2.0,2.0,
0.6,0.02,0.39,1.46,0.59,0.63,0.39,0.37,0.66,0.2,0.13,1.03,0.0,0.6,-0.2,19.0,3.0,3.0,
0.8,0.02,0.41,1.54,0.62,0.87,0.15,0.13,1.0,0.2,0.14,1.01,0.2,0.6,0.2,20.0,3.0,4.0,
0.0,0.03,0.57,2.15,0.87,0.0,inf,1.0,0.29,0.4,0.19,1.15,0.0,0.2,0.6,28.0,1.0,0.0,
0.2,0.05,0.82,3.08,1.25,0.29,0.76,0.71,0.31,0.4,0.24,1.03,0.0,0.4,0.4,40.0,2.0,1.0,
0.4,0.02,0.33,1.23,0.5,0.51,0.47,0.49,0.48,0.4,0.11,1.17,0.0,0.2,-0.2,16.0,1.0,2.0,
0.6,0.06,1.0,3.77,1.53,0.74,0.22,0.26,0.64,0.4,0.25,0.86,0.4,0.6,0.0,49.0,3.0,3.0,
0.8,0.05,0.76,2.85,1.15,0.91,0.1,0.09,1.0,0.4,0.25,1.15,0.2,0.8,0.2,37.0,4.0,4.0,
0.0,0.05,0.8,3.0,1.21,0.0,inf,1.0,0.2,0.6,0.2,0.97,0.0,0.2,0.0,39.0,1.0,0.0,
0.2,0.03,0.51,1.92,0.78,0.2,1.21,0.8,0.31,0.6,0.17,1.29,0.8,0.6,0.6,25.0,3.0,1.0,
0.4,0.06,0.96,3.62,1.46,0.45,0.4,0.55,0.32,0.6,0.32,1.29,0.2,0.0,0.2,47.0,0.0,2.0,
0.6,0.06,0.94,3.54,1.43,0.63,0.21,0.37,0.35,0.6,0.32,1.32,0.0,0.8,-0.2,46.0,4.0,3.0,
0.8,0.04,0.69,2.62,1.06,0.76,0.32,0.24,1.0,0.6,0.21,1.16,0.4,0.8,0.4,34.0,4.0,4.0,
0.0,0.06,0.92,3.46,1.4,0.0,inf,1.0,0.18,0.8,0.3,1.35,0.0,0.4,0.6,45.0,2.0,0.0,
0.2,0.06,1.0,3.77,1.53,0.18,0.69,0.82,0.15,0.8,0.3,1.21,0.0,0.6,0.4,49.0,3.0,1.0,
